time;V(/in);V(/out);
7,4928e-11;0;1,8;
7,5028e-11;0;1,8;
7,5128e-11;0;1,8;
7,5228e-11;0;1,8;
7,5328e-11;0;1,8;
7,5428e-11;0;1,8;
7,5528e-11;0;1,8;
7,5628e-11;0;1,8;
7,5728e-11;0;1,8;
7,5828e-11;0;1,8;
7,5928e-11;0;1,8;
7,6028e-11;0;1,8;
7,6128e-11;0;1,8;
7,6228e-11;0;1,8;
7,6328e-11;0;1,8;
7,6428e-11;0;1,8;
7,6528e-11;0;1,8;
7,6628e-11;0;1,8;
7,6728e-11;0;1,8;
7,6828e-11;0;1,8;
7,6928e-11;0;1,8;
7,7028e-11;0;1,8;
7,7128e-11;0;1,8;
7,7228e-11;0;1,8;
7,7328e-11;0;1,8;
7,7428e-11;0;1,8;
7,7528e-11;0;1,8;
7,7628e-11;0;1,8;
7,7728e-11;0;1,8;
7,7828e-11;0;1,8;
7,7928e-11;0;1,8;
7,8028e-11;0;1,8;
7,8128e-11;0;1,8;
7,8228e-11;0;1,8;
7,8328e-11;0;1,8;
7,8428e-11;0;1,8;
7,8528e-11;0;1,8;
7,8628e-11;0;1,8;
7,8728e-11;0;1,8;
7,8828e-11;0;1,8;
7,8928e-11;0;1,8;
7,9028e-11;0;1,8;
7,9128e-11;0;1,8;
7,9228e-11;0;1,8;
7,9328e-11;0;1,8;
7,9428e-11;0;1,8;
7,9528e-11;0;1,8;
7,9628e-11;0;1,8;
7,9728e-11;0;1,8;
7,9828e-11;0;1,8;
7,9928e-11;0;1,8;
8,0028e-11;0;1,8;
8,0128e-11;0;1,8;
8,0228e-11;0;1,8;
8,0328e-11;0;1,8;
8,0428e-11;0;1,8;
8,0528e-11;0;1,8;
8,0628e-11;0;1,8;
8,0728e-11;0;1,8;
8,0828e-11;0;1,8;
8,0928e-11;0;1,8;
8,1028e-11;0;1,8;
8,1128e-11;0;1,8;
8,1228e-11;0;1,8;
8,1328e-11;0;1,8;
8,1428e-11;0;1,8;
8,1528e-11;0;1,8;
8,1628e-11;0;1,8;
8,1728e-11;0;1,8;
8,1828e-11;0;1,8;
8,1928e-11;0;1,8;
8,2028e-11;0;1,8;
8,2128e-11;0;1,8;
8,2228e-11;0;1,8;
8,2328e-11;0;1,8;
8,2428e-11;0;1,8;
8,2528e-11;0;1,8;
8,2628e-11;0;1,8;
8,2728e-11;0;1,8;
8,2828e-11;0;1,8;
8,2928e-11;0;1,8;
8,3028e-11;0;1,8;
8,3128e-11;0;1,8;
8,3228e-11;0;1,8;
8,3328e-11;0;1,8;
8,3428e-11;0;1,8;
8,3528e-11;0;1,8;
8,3628e-11;0;1,8;
8,3728e-11;0;1,8;
8,3828e-11;0;1,8;
8,3928e-11;0;1,8;
8,4028e-11;0;1,8;
8,4128e-11;0;1,8;
8,4228e-11;0;1,8;
8,4328e-11;0;1,8;
8,4428e-11;0;1,8;
8,4528e-11;0;1,8;
8,4628e-11;0;1,8;
8,4728e-11;0;1,8;
8,4828e-11;0;1,8;
8,4928e-11;0;1,8;
8,5028e-11;0;1,8;
